2020-08-30 08:53:03,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 08:52:31,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 08:52:28,b'RT @Sathappandharun: retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS #J\xe2\x80\xa6'
2020-08-30 08:51:46,b'retweet and let the nata scam reveal to all\n\n#Mann_Ki_Nahi_Student_Ki_Baat #SCAM #NATA2020 #NATAEXAM #JEE #JEEMAINS\xe2\x80\xa6 https://t.co/CeRBat1S5C'
2020-08-30 08:31:06,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 08:24:41,b'RT @htTweets: JEE-NEET row: @MamataOfficial challenges PM Modi to take impromptu opinion of students on \xe2\x80\x98Mann ki Baat\xe2\x80\x99\n\n#JEEMains #NEET2020\xe2\x80\xa6'
2020-08-30 07:36:51,b'RT @htTweets: JEE-NEET row: @MamataOfficial challenges PM Modi to take impromptu opinion of students on \xe2\x80\x98Mann ki Baat\xe2\x80\x99\n\n#JEEMains #NEET2020\xe2\x80\xa6'
2020-08-30 07:31:22,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 07:30:18,"b'RT @htTweets: #LIVE | Protest to be held outside UN Headquarters, New York tomorrow\n\n#NEET2020 #JEEMains\n\nhttps://t.co/v5ocPczukT https://t\xe2\x80\xa6'"
2020-08-30 07:07:00,"b'RT @htTweets: \xe2\x80\x98I am standing by you\xe2\x80\x99, @SonuSood promises to help aspirants reach their exam centres\n\n#NEET2020 #JEEMains\n\nhttps://t.co/v5oc\xe2\x80\xa6'"
2020-08-30 06:51:41,"b'Over 150 academicians from different universities of India and abroad have written to PM Narendra Modi, saying that\xe2\x80\xa6 https://t.co/GKJT9tWLt8'"
2020-08-30 06:41:16,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 06:39:47,"b'RT @htTweets: #LIVE | Protest to be held outside UN Headquarters, New York tomorrow\n\n#NEET2020 #JEEMains\n\nhttps://t.co/v5ocPczukT https://t\xe2\x80\xa6'"
2020-08-30 06:26:20,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 06:04:53,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 05:42:34,b'RT @htTweets: A massive row has started over conducting the #JEE &amp; #NEET exams amid the #COVID19 pandemic. HT\xe2\x80\x99s senior editor @prasadaditi\xe2\x80\xa6'
2020-08-30 05:41:43,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 05:31:21,b'RT @htTweets: Centre should listen to \xe2\x80\x98Mann ki Baat\xe2\x80\x99 of students: @MamataOfficial \n\n#NEET2020 #JEEMains \n\nhttps://t.co/v5ocPczukT https://t\xe2\x80\xa6'
2020-08-30 05:20:42,"b'RT @mayankraj2001j1: Party with 50 persons\n20 in funeral\n.\n.\n.\n#jeemains-900,000 students\n#neet-1,500,000 students\n?? in funeral\n#Mann_Ki_N\xe2\x80\xa6'"
2020-08-30 05:13:14,"b'RT @maths105: Learn the #basicconcepts of #mathematics within #10min for entire classes,#JEEmains,#SSC,#BANK,#RAILWAYS,and for all competit\xe2\x80\xa6'"
2020-08-30 04:52:03,"b'Learn the #basicconcepts of #mathematics within #10min for entire classes,#JEEmains,#SSC,#BANK,#RAILWAYS,and for al\xe2\x80\xa6 https://t.co/LcW4k4M66o'"
2020-08-30 04:49:16,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 04:46:35,"b'RT @mayankraj2001j1: Party with 50 persons\n20 in funeral\n.\n.\n.\n#jeemains-900,000 students\n#neet-1,500,000 students\n?? in funeral\n#Mann_Ki_N\xe2\x80\xa6'"
2020-08-30 04:42:29,"b'Party with 50 persons\n20 in funeral\n.\n.\n.\n#jeemains-900,000 students\n#neet-1,500,000 students\n?? in funeral\xe2\x80\xa6 https://t.co/un5rwWuSt8'"
2020-08-30 04:40:09,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 04:32:36,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 04:30:19,b'@DG_NTA #JEEMains sir Am having 2 exam in 1day on 6 september jee and NDA my nda center at Chandigarh it is 400 km\xe2\x80\xa6 https://t.co/NuGfpvJxoS'
2020-08-30 04:30:15,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 04:28:28,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 04:27:00,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 03:54:19,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 03:52:43,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 03:33:00,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 03:32:33,b'RT @htTweets: JEE-NEET row: @MamataOfficial challenges PM Modi to take impromptu opinion of students on \xe2\x80\x98Mann ki Baat\xe2\x80\x99\n\n#JEEMains #NEET2020\xe2\x80\xa6'
2020-08-30 03:32:13,"b'RT @htTweets: \xe2\x80\x98I am standing by you\xe2\x80\x99, @SonuSood promises to help aspirants reach their exam centres\n\n#NEET2020 #JEEMains\n\nhttps://t.co/v5oc\xe2\x80\xa6'"
2020-08-30 03:16:39,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
2020-08-30 02:16:47,b'RT @htTweets: Rajasthan CM appeals centre to postpone exams\n\n#NEET2020 #JEEMains \n\nhttps://t.co/eHSyAfiGUy https://t.co/ozQ744k7GO'
